station;depth
Sta.476-1;22.5-23.3m
Sta.468-1;25.5-26.5m
Sta.416-1;40-49m
Sta.433-1;42.3-46.2m
Sta.443-2;43.5-49.5m
Sta.460-1;40.0-89.7m
