station;shannon_H;depth;depth_mid
Sta.476-1;1,371355794;22.5-23.3m;22,9m
Sta.468-1;1,525545537;25.5-26.5m;26m
Sta.433-1;1,734617853;42.3-46.2m;44,25m
Sta.416-1;1,955951732;40-49m;44,5m
Sta.443-2;1,645904762;43.5-49.5m;46,5m
Sta.460-1;1,882194235;40.0-89.7m;64,85m
