station;n;mean_H;sd_H;SW_W;SW_p;normal;depth;depth_mid
Sta.476-1;1;1,371;NA;NA;NA;too few samples;22.5-23.3m;22,9m
Sta.468-1;10;1,414;0,291;0,7993;0,0142;no (p ≤ 0.05);25.5-26.5m;26m
Sta.433-1;6;1,555;0,172;0,893;0,3343;yes (p > 0.05);42.3-46.2m;44,25m
Sta.416-1;4;1,817;0,079;0,8238;0,1523;yes (p > 0.05);40-49m;44,5m
Sta.443-2;6;1,646;0,228;0,9016;0,3832;yes (p > 0.05);43.5-49.5m;46,5m
Sta.460-1;3;1,799;0,144;0,936;0,5115;yes (p > 0.05);40.0-89.7m;64,85m
